step,duration,file,algorithm,run
encryption,0.021623451000778005,RipVanWinkle,FCC,1
decryption,0.03212293100023089,RipVanWinkle,FCC,1
encryption,0.021465817999342107,RipVanWinkle,FCC,2
decryption,0.035848252000505454,RipVanWinkle,FCC,2
encryption,0.022011483000824228,RipVanWinkle,FCC,3
decryption,0.02830052099943714,RipVanWinkle,FCC,3
encryption,0.020037350000166043,RipVanWinkle,FCC,4
decryption,0.03001573500023369,RipVanWinkle,FCC,4
encryption,0.02287245899970003,RipVanWinkle,FCC,5
decryption,0.030006596999555768,RipVanWinkle,FCC,5
encryption,0.021040237999841338,RipVanWinkle,FCC,6
decryption,0.03033059700010199,RipVanWinkle,FCC,6
encryption,0.022184313999787264,RipVanWinkle,FCC,7
decryption,0.0308885750000627,RipVanWinkle,FCC,7
encryption,0.032332453999515565,RipVanWinkle,FCC,8
decryption,0.030072374000155833,RipVanWinkle,FCC,8
encryption,0.021076236999761022,RipVanWinkle,FCC,9
decryption,0.03044216999933269,RipVanWinkle,FCC,9
encryption,0.02123455400032981,RipVanWinkle,FCC,10
decryption,0.030268978999629326,RipVanWinkle,FCC,10
encryption,0.10565281000071991,BlackBeauty,FCC,1
decryption,0.13446292699973128,BlackBeauty,FCC,1
encryption,0.09111666399985552,BlackBeauty,FCC,2
decryption,0.12736747300004936,BlackBeauty,FCC,2
encryption,0.09798002800016548,BlackBeauty,FCC,3
decryption,0.13316121399930125,BlackBeauty,FCC,3
encryption,0.08928178199948889,BlackBeauty,FCC,4
decryption,0.1417193369998131,BlackBeauty,FCC,4
encryption,0.0971384799995576,BlackBeauty,FCC,5
decryption,0.12822576599955937,BlackBeauty,FCC,5
encryption,0.09471244499945897,BlackBeauty,FCC,6
decryption,0.12833458699969924,BlackBeauty,FCC,6
encryption,0.09490350600026431,BlackBeauty,FCC,7
decryption,0.13101767399984965,BlackBeauty,FCC,7
encryption,0.09829696099950525,BlackBeauty,FCC,8
decryption,0.14150805499957642,BlackBeauty,FCC,8
encryption,0.09178983899982995,BlackBeauty,FCC,9
decryption,0.1294327229998089,BlackBeauty,FCC,9
encryption,0.09428718900016975,BlackBeauty,FCC,10
decryption,0.13758036899980652,BlackBeauty,FCC,10
encryption,0.5299909889999981,TheBrothersKaramazov,FCC,1
decryption,0.7756932369993592,TheBrothersKaramazov,FCC,1
encryption,0.5227392289998534,TheBrothersKaramazov,FCC,2
